date,description,amount,category
2026-06-19,Swiggy - dinner order,540,Food
2026-06-18,Uber to airport,720,Travel
2026-06-18,Amazon - headphones,2499,Shopping
2026-06-17,Electricity bill,2150,Bills
2026-06-16,Netflix subscription,649,Entertainment
2026-06-16,Apollo Pharmacy,880,Healthcare
2026-06-15,Coursera - ML course,1499,Education
2026-06-14,Zomato - lunch,320,Food
2026-06-14,SIP - Nifty index fund,10000,Investments
2026-06-13,Spotify Premium,119,Entertainment
2026-06-12,BigBasket groceries,2840,Food
2026-06-11,Petrol - HP,1500,Travel
2026-06-10,Myntra - apparel,3299,Shopping
2026-06-09,Mobile recharge,399,Bills
2026-06-08,Swiggy - dinner order,560,Food
